energy;Permutation_importance
2.26;0.0005973997794304366
12.3;0.0005920300150942751
9.24;0.0005888686740895432
2.32;0.0005874496540030066
12.72;0.0005874160183765222
8.48;0.0005859116771371395
10.7;0.0005857326321761161
8.1;0.0005847462418177427
9.38;0.000582526043104251
11.5;0.0005806652379679082
10.78;0.0005780055206748975
4.02;0.0005772318501404149
2.48;0.0005770499449336228
5.72;0.0005731126811606944
3.06;0.0005670809082208288
1.92;0.0005615492707582925
9.9;0.0005607071057667511
8.56;0.0005426181295664802
9.5;0.0005356575981188048
9.86;0.0005350827249902357
8.86;0.0005348962388653991
8.36;0.0005344637023620414
8.22;0.0005341868497162544
9.44;0.0005340287359834699
10.5;0.0005322007350554352
1.4;0.0005314046322859501
5.08;0.0005309154245792353
5.16;0.0005290206864764691
2.44;0.0005281541687693573
12.66;0.0005174802685684587
3.84;0.0005161996885331822
7.66;0.0005159811293419601
12.48;0.0005157602952021703
10.14;0.0005143986678888039
1.88;0.0005125318982647855
3.44;0.0005101653051160024
5.84;0.0005067665977218025
9.06;0.0005061499631525754
3.92;0.0005052011786342563
5.42;0.00050462584604532
2.64;0.000502348788445572
5.24;0.0004971446638002057
2.66;0.0004941695113245966
10.94;0.0004936196767270147
1.6;0.00048759900860613405
6.7;0.00048303437482978377
11.1;0.00048280412507702787
6.16;0.000478295977998789
3.58;0.0004776482996962806
8.2;0.00047741317707777274
4.3;0.0004769925298127451
7.86;0.00047309276258053636
8.52;0.0004685736729240662
8.6;0.00046780608278688225
8.46;0.00046494898703794635
11.94;0.00046364212916204743
3.1;0.0004630746421896635
7.74;0.00045455081603415216
11.14;0.0004525915599655446
2.56;0.00045097447543804655
1.68;0.0004508963336385654
8.34;0.00044787924276236087
9.98;0.00044275932805031904
9.7;0.0004420668376462278
3.02;0.00044164925383232594
11;0.000441618096018893
7.34;0.00043914314886493895
2.18;0.0004370667287216361
5.78;0.00043649963706308476
6.76;0.00043157501111610734
2.78;0.0004302684878558294
6.72;0.00043003469434737174
10.66;0.00042906837639176065
8.98;0.0004255493140079989
2;0.00042049547691094526
5.28;0.0004195225470639191
7.58;0.00041625703649577776
11.34;0.00041156160979673363
9.62;0.00041010587906741247
10.24;0.0004088765452025747
7.9;0.0004041449611295781
4.32;0.00040252865286472667
10.26;0.0003990415010496809
2.9;0.0003986539799037789
5.62;0.0003959576898622381
9.8;0.0003829547564147814
11.26;0.00037209716081515096
