energy;Reg_coef;Abs_Reg_coef;Zone
9.54;0.01815888229405558;0.01815888229405558;background2
16.04;0.018126370062040015;0.018126370062040015;background3
17.46;-0.01807967306280174;0.01807967306280174;Rh ka Compton
18.02;-0.017857613177192526;0.017857613177192526;Rh ka Compton
16.76;0.017787869509340172;0.017787869509340172;background3
22.64;0.017771217599873573;0.017771217599873573;Rh kb Rayleigh
4.24;0.017768335531713194;0.017768335531713194;background1
18.12;-0.017764548023185504;0.017764548023185504;Rh ka Compton
4.96;-0.01775431814701455;0.01775431814701455;background1
7.98;0.01773573209802765;0.01773573209802765;Cu
10.76;-0.017734798745224475;0.017734798745224475;background2
20.12;-0.017690964610714233;0.017690964610714233;Rh ka Rayleigh
7.62;-0.01768664071484335;0.01768664071484335;Cu
9.64;0.017673806227657157;0.017673806227657157;background2
13.8;-0.017632301595223325;0.017632301595223325;background3
19.22;-0.017603158547815342;0.017603158547815342;Rh ka Compton
20.96;0.017596683666217982;0.017596683666217982;Rh kb Compton
16.58;0.017540707528332193;0.017540707528332193;background3
19.62;0.01745372125294666;0.01745372125294666;Rh ka Compton
5.66;0.01745337549298882;0.01745337549298882;background1
10.34;0.01744167820189337;0.01744167820189337;background2
15.72;-0.0174021700886853;0.0174021700886853;background3
19;0.01739493927367526;0.01739493927367526;Rh ka Compton
6.28;0.017360989302028954;0.017360989302028954;Fe
12.84;0.017356865383357338;0.017356865383357338;Rb ka + Br kb
15.86;-0.01730967668614565;0.01730967668614565;background3
15.28;-0.01728988122056889;0.01728988122056889;background3
22.32;0.017235801384652003;0.017235801384652003;Rh kb Rayleigh
21.18;0.017220784824451996;0.017220784824451996;Rh kb Compton
12.86;-0.017212515091729927;0.017212515091729927;Rb ka + Br kb
18;-0.017210896327535138;0.017210896327535138;Rh ka Compton
14.02;-0.017184448350497615;0.017184448350497615;background3
19.52;-0.017138743619062324;0.017138743619062324;Rh ka Compton
3.06;-0.017118605554180606;0.017118605554180606;K ka
14.72;-0.017038616829129594;0.017038616829129594;background3
16.14;-0.017012070276635684;0.017012070276635684;background3
14.22;0.016957531827635725;0.016957531827635725;background3
4.22;-0.01692919201915242;0.01692919201915242;background1
8.56;-0.01692766749733652;0.01692766749733652;Zn
17.64;-0.016751813597826487;0.016751813597826487;Rh ka Compton
10.8;-0.016507535147612332;0.016507535147612332;background2
7.68;0.01648382419908195;0.01648382419908195;Cu
21.84;0.016482675639828664;0.016482675639828664;Rh kb Compton
20.4;-0.016478220484048702;0.016478220484048702;Rh ka Rayleigh
13.62;0.01644150117619608;0.01644150117619608;Rb ka + Br kb
21.92;-0.01637545600668398;0.01637545600668398;Rh kb Compton
21.5;-0.01632624562603408;0.01632624562603408;Rh kb Compton
15.62;-0.0162498643262997;0.0162498643262997;background3
17.6;-0.01621633119984216;0.01621633119984216;Rh ka Compton
14.8;-0.016175277870580557;0.016175277870580557;background3
