B;0.042;0.0411;0.044;0.0371;0.0469;0.0474;0.052;0.0486;0.0483;0.0466;0.0546;0.0577;0.0549;0.0643;0.0834;0.0769;0.0894;0.0837;0.0854;0.0874;0.086;0.0783;0.0671;0.0654;0.0609;0.0637;0.0571;0.0589;0.0551;0.0551;0.0606;0.0529;0.062;0.0626;0.052;0.05;0.0674;0.0597;0.0629
B;0.0426;0.0395;0.0451;0.04;0.0431;0.0433;0.0477;0.0436;0.0415;0.0492;0.0546;0.0556;0.0608;0.0813;0.0859;0.0887;0.1079;0.1013;0.1049;0.1;0.0849;0.0818;0.0703;0.0582;0.0518;0.0577;0.0569;0.0582;0.0541;0.0477;0.0556;0.0521;0.051;0.0613;0.0567;0.0579;0.0515;0.0595;0.0623
Multivariate_threshold|Fe ka > 0.014185;0.04077823388178932;0.038672872108395484;0.04164592836451168;0.04101059846488827;0.04109854512888094;0.04267796076298787;0.0434330296954523;0.04524038614824401;0.04526498101941278;0.047398101703554525;0.05209782453888018;0.057414764771245456;0.06400717094430655;0.07341421391741011;0.08502745298584383;0.09349201305082766;0.10147341755035427;0.1065439622950781;0.1042173290662891;0.0969191169807335;0.08770655671660015;0.07898025597491368;0.06953978916162502;0.0643857498029481;0.05872896255321538;0.05780324623700105;0.056303173900389795;0.056205144083021734;0.05587583202375984;0.05551826013392274;0.05683906359043807;0.0566707352305143;0.058100391124976544;0.05871694691589028;0.05818181106129991;0.058953052854783666;0.059082479819010394;0.05951020266050606;0.06162589277490882
Multivariate_threshold|Fe ka > 0.002616;0.04066005685339579;0.03880374001012259;0.041756050356420965;0.04038056540607936;0.04084729230707342;0.04281244585896196;0.04356143886374853;0.0449627762707492;0.045157612672629195;0.04710060633515165;0.051183049668211585;0.05609003826210349;0.06217599164087328;0.07144912902335211;0.08187869848267268;0.08991388785542406;0.09766190265666977;0.10195643168554173;0.09915052473968208;0.0929227509058175;0.08425249898945351;0.0763282686563383;0.06844709280207467;0.06345752066909546;0.05814997483904798;0.05739669569104057;0.05579959028257118;0.05592909091642305;0.05551494187627694;0.05519267303844131;0.057133433713778325;0.056881019567070375;0.058371929923343044;0.05849340659644178;0.05743155998205;0.058575787646511154;0.05919774456241452;0.059350418016742006;0.061084361834537124
Multivariate_threshold|Fe ka <= -0.020095;0.040428059657308675;0.03906065107542192;0.04197223444649138;0.039143726867551194;0.04035404966118278;0.043076457956792005;0.043813523108898106;0.044417791225344144;0.04494683435351838;0.04651658343106798;0.049387225150274376;0.05348942425207961;0.05858114355826125;0.0675914064888468;0.07569727535981502;0.08288955305984944;0.090179392898221;0.09295050005192398;0.08920371517039334;0.08507735373750518;0.07747172510544112;0.07112206546836111;0.06630198478035228;0.061635283646320836;0.05701334508890376;0.05659858299509059;0.05481098878431488;0.05538716190117823;0.054806466604477994;0.05455350234460473;0.0577113213468921;0.057293835637377985;0.05890499663441413;0.05805456727183318;0.05595871750908055;0.05783516595640582;0.059424024556428326;0.059036739547796285;0.06002126470416851
Multivariate_threshold|Fe ka > -0.012466;0.040505987788902104;0.03897435434579707;0.04189961795584601;0.039559182390358695;0.04051973044726445;0.042987775981970934;0.043728847713850355;0.044600852344405376;0.04501763503932728;0.04671275741286869;0.04999044472237631;0.054362973563084026;0.05978865726603461;0.06888722003483028;0.0777736226720982;0.08524903539643895;0.0926927767448368;0.09597560310188696;0.09254486022785019;0.08771263189278679;0.07974939504478032;0.07287083525514108;0.06702252909303497;0.062247375209926965;0.0573951403615888;0.056866669990301606;0.055143061192727306;0.05556919649610686;0.055044444283271605;0.05476820053397965;0.0575172082098411;0.05715517023282398;0.05872593889790241;0.058201973918177434;0.056453447031616914;0.058083941654995745;0.059348016839749516;0.059142104515211014;0.060378360283206686
Multivariate_threshold|Fe ka <= 0.014185;0.04077823388178932;0.038672872108395484;0.04164592836451168;0.04101059846488827;0.04109854512888094;0.04267796076298787;0.0434330296954523;0.04524038614824401;0.04526498101941278;0.047398101703554525;0.05209782453888018;0.057414764771245456;0.06400717094430655;0.07341421391741011;0.08502745298584383;0.09349201305082766;0.10147341755035427;0.1065439622950781;0.1042173290662891;0.0969191169807335;0.08770655671660015;0.07898025597491368;0.06953978916162502;0.0643857498029481;0.05872896255321538;0.05780324623700105;0.056303173900389795;0.056205144083021734;0.05587583202375984;0.05551826013392274;0.05683906359043807;0.0566707352305143;0.058100391124976544;0.05871694691589028;0.05818181106129991;0.058953052854783666;0.059082479819010394;0.05951020266050606;0.06162589277490882
Multivariate_threshold|Fe ka > -0.020095;0.040428059657308675;0.03906065107542192;0.04197223444649138;0.039143726867551194;0.04035404966118278;0.043076457956792005;0.043813523108898106;0.044417791225344144;0.04494683435351838;0.04651658343106798;0.049387225150274376;0.05348942425207961;0.05858114355826125;0.0675914064888468;0.07569727535981502;0.08288955305984944;0.090179392898221;0.09295050005192398;0.08920371517039334;0.08507735373750518;0.07747172510544112;0.07112206546836111;0.06630198478035228;0.061635283646320836;0.05701334508890376;0.05659858299509059;0.05481098878431488;0.05538716190117823;0.054806466604477994;0.05455350234460473;0.0577113213468921;0.057293835637377985;0.05890499663441413;0.05805456727183318;0.05595871750908055;0.05783516595640582;0.059424024556428326;0.059036739547796285;0.06002126470416851
Multivariate_threshold|Fe ka <= -0.012466;0.040505987788902104;0.03897435434579707;0.04189961795584601;0.039559182390358695;0.04051973044726445;0.042987775981970934;0.043728847713850355;0.044600852344405376;0.04501763503932728;0.04671275741286869;0.04999044472237631;0.054362973563084026;0.05978865726603461;0.06888722003483028;0.0777736226720982;0.08524903539643895;0.0926927767448368;0.09597560310188696;0.09254486022785019;0.08771263189278679;0.07974939504478032;0.07287083525514108;0.06702252909303497;0.062247375209926965;0.0573951403615888;0.056866669990301606;0.055143061192727306;0.05556919649610686;0.055044444283271605;0.05476820053397965;0.0575172082098411;0.05715517023282398;0.05872593889790241;0.058201973918177434;0.056453447031616914;0.058083941654995745;0.059348016839749516;0.059142104515211014;0.060378360283206686
Multivariate_threshold|Fe ka <= 0.002616;0.04066005685339579;0.03880374001012259;0.041756050356420965;0.04038056540607936;0.04084729230707342;0.04281244585896196;0.04356143886374853;0.0449627762707492;0.045157612672629195;0.04710060633515165;0.051183049668211585;0.05609003826210349;0.06217599164087328;0.07144912902335211;0.08187869848267268;0.08991388785542406;0.09766190265666977;0.10195643168554173;0.09915052473968208;0.0929227509058175;0.08425249898945351;0.0763282686563383;0.06844709280207467;0.06345752066909546;0.05814997483904798;0.05739669569104057;0.05579959028257118;0.05592909091642305;0.05551494187627694;0.05519267303844131;0.057133433713778325;0.056881019567070375;0.058371929923343044;0.05849340659644178;0.05743155998205;0.058575787646511154;0.05919774456241452;0.059350418016742006;0.061084361834537124
