energy;Mean_Abs_SHAP;Zone
1.34;0.0;Al
7.22;0.0;Fe kb
7.24;0.0;Fe kb
7.26;0.0;Fe kb
7.28;0.0;Fe kb
7.3;0.0;background1
7.32;0.0;background1
7.34;0.0;background1
7.18;0.0;Fe kb
4.96;0.0;Ti kb
4.98;0.0;Ti kb
5.0;0.0;Ti kb
5.02;0.0;Ti kb
5.04;0.0;Ti kb
5.06;0.0;Ti kb
5.08;0.0;Ti kb
6.12;0.0;Mn
5.12;0.0;Cr
5.14;0.0;Cr
5.16;0.0;Cr
5.18;0.0;Cr
5.2;0.0;Cr
5.22;0.0;Cr
5.24;0.0;Cr
5.26;0.0;Cr
5.1;0.0;Ti kb
4.52;0.0;Ti ka
4.54;0.0;Ti ka
4.66;0.0;Ti ka
4.68;0.0;Ti ka
4.7;0.0;Ti ka
4.72;0.0;Ti ka
4.74;0.0;Ti ka
4.94;0.0;Ti kb
4.78;0.0;Ti kb
4.8;0.0;Ti kb
4.82;0.0;Ti kb
4.84;0.0;Ti kb
4.86;0.0;Ti kb
4.88;0.0;Ti kb
4.9;0.0;Ti kb
4.92;0.0;Ti kb
4.76;0.0;Ti kb
5.64;0.0;Cr
5.66;0.0;Cr
5.68;0.0;Cr
5.7;0.0;Cr
5.72;0.0;Cr
5.74;0.0;Cr
5.76;0.0;Cr
5.28;0.0;Cr
5.8;0.0;Mn
5.82;0.0;Mn
6.0;0.0;Mn
6.02;0.0;Mn
6.04;0.0;Mn
6.06;0.0;Mn
6.08;0.0;Mn
6.1;0.0;Mn
5.78;0.0;Mn
5.3;0.0;Cr
5.32;0.0;Cr
5.34;0.0;Cr
5.36;0.0;Cr
5.38;0.0;Cr
5.4;0.0;Cr
5.42;0.0;Cr
5.62;0.0;Cr
5.46;0.0;Cr
5.48;0.0;Cr
5.5;0.0;Cr
5.52;0.0;Cr
5.54;0.0;Cr
5.56;0.0;Cr
5.58;0.0;Cr
5.6;0.0;Cr
5.44;0.0;Cr
