energy;Reg_coef;Abs_Reg_coef;Zone
13.48;0.0023792518640247695;0.0023792518640247695;Bremsstrahlung
17.14;-0.0023739374061668163;0.0023739374061668163;Bremsstrahlung
17.22;0.002371424914574185;0.002371424914574185;Bremsstrahlung
6.52;-0.002351264102003947;0.002351264102003947;Fe
4.58;-0.00234750629064369;0.00234750629064369;background
13.13;0.0023388212957817698;0.0023388212957817698;Bremsstrahlung
17.45;-0.0023301286310025535;0.0023301286310025535;Bremsstrahlung
7.88;-0.0023289896876920527;0.0023289896876920527;Cu
17.04;-0.002328651219562142;0.002328651219562142;Bremsstrahlung
5.37;-0.0023183304086934666;0.0023183304086934666;background
19.37;0.002315387351981394;0.002315387351981394;Bremsstrahlung
8.06;0.0023090342463357337;0.0023090342463357337;Cu
19.50;0.0023061001663205595;0.0023061001663205595;Bremsstrahlung
11.54;0.0022781100816437624;0.0022781100816437624;Bremsstrahlung
6.32;-0.002277629924873942;0.002277629924873942;Fe
6.99;-0.00227187488053242;0.00227187488053242;Cu
11.67;0.0022675706875482974;0.0022675706875482974;Bremsstrahlung
7.34;-0.0022569177659906934;0.0022569177659906934;Cu
21.85;0.002247916756126851;0.002247916756126851;Ag ka
15.27;-0.0022461085970530356;0.0022461085970530356;Bremsstrahlung
21.11;-0.002238896231851242;0.002238896231851242;Ag compton
20.06;-0.0022281451177690492;0.0022281451177690492;Ag compton
8.80;0.0022280303891273807;0.0022280303891273807;Zn
21.59;-0.002211248250912603;0.002211248250912603;Ag ka
21.49;-0.0022029913606077525;0.0022029913606077525;Ag ka
5.12;0.0022021843595334966;0.0022021843595334966;background
20.39;-0.0022017706226059703;0.0022017706226059703;Ag compton
3.76;0.0021995988888522345;0.0021995988888522345;Ca
19.42;-0.0021971369984178334;0.0021971369984178334;Bremsstrahlung
6.70;0.0021869062195774766;0.0021869062195774766;Cu
16.25;0.0021798599764160445;0.0021798599764160445;Bremsstrahlung
14.74;0.0021657373446196766;0.0021657373446196766;Bremsstrahlung
12.18;0.002164228906670097;0.002164228906670097;Bremsstrahlung
16.58;0.00215894253982619;0.00215894253982619;Bremsstrahlung
21.03;-0.002156659404413168;0.002156659404413168;Ag compton
20.70;0.002156170737331273;0.002156170737331273;Ag compton
14.97;-0.0021449600385161907;0.0021449600385161907;Bremsstrahlung
11.46;0.002137635744620266;0.002137635744620266;Bremsstrahlung
5.71;0.002133818646047424;0.002133818646047424;background
13.94;-0.002122578580051842;0.002122578580051842;Bremsstrahlung
10.80;0.0021194524528156205;0.0021194524528156205;Bremsstrahlung
14.10;0.00211620418187933;0.00211620418187933;Bremsstrahlung
12.43;-0.0021098015070626476;0.0021098015070626476;Bremsstrahlung
6.63;-0.00209159462560953;0.00209159462560953;Fe
21.46;-0.0020779133190560115;0.0020779133190560115;Ag compton
19.93;-0.0020769165552221424;0.0020769165552221424;Bremsstrahlung
18.47;0.002072043040101936;0.002072043040101936;Bremsstrahlung
8.85;-0.0020628729662237537;0.0020628729662237537;Zn
18.50;0.0020587701392313596;0.0020587701392313596;Bremsstrahlung
18.04;0.002056289766962767;0.002056289766962767;Bremsstrahlung
20.52;0.0020540829454625347;0.0020540829454625347;Ag compton
20.88;0.0020492671873304476;0.0020492671873304476;Ag compton
21.06;0.002048763120068861;0.002048763120068861;Ag compton
22.41;0.0020452296244641652;0.0020452296244641652;Ag ka
16.81;-0.002041332271839346;0.002041332271839346;Bremsstrahlung
20.47;-0.0020403929704326416;0.0020403929704326416;Ag compton
15.63;0.0020399949507017806;0.0020399949507017806;Bremsstrahlung
